Window_End,Hybrid SPY (70/15/15) CAGR,Hybrid SPY (70/15/15) MDD,Dull S&P 500 CAGR,Dull S&P 500 MDD,Hybrid MSCI (40/35/25) CAGR,Hybrid MSCI (40/35/25) MDD,Dull MSCI World CAGR,Dull MSCI World MDD
2021-02-09,0.0902880264282957,-0.592112583499205,0.07536473596885118,-0.5552859164530535,0.09426284092924053,-0.6816056368115624,0.05408605718473214,-0.555525932472571
2021-02-16,0.09117830559056395,-0.590354976803985,0.07619893700532376,-0.5552859164530535,0.09557801121963116,-0.6778549148054731,0.054745400421950974,-0.555525932472571
2021-02-26,0.09226942063015797,-0.5809374708196768,0.0759386446646364,-0.5552859164530535,0.09802509042985652,-0.6624869849391004,0.05445766234780325,-0.5555259324725709
2021-03-05,0.09400374376824305,-0.5828699976717897,0.07749791716757581,-0.5552859164530535,0.09948231877642488,-0.6662096385573605,0.05426325910324303,-0.5555259324725709
2021-03-12,0.09835038707693622,-0.5919241207438294,0.08163526883914152,-0.5552859164530535,0.10516120099847925,-0.6814468902520237,0.05932019864936722,-0.5555259324725709
2021-03-19,0.09957332737959868,-0.591876814003228,0.08164911417969045,-0.5552859164530535,0.10792352129020122,-0.6807771940418829,0.059776187104494394,-0.555525932472571
2021-03-26,0.10001622277847688,-0.5969160856438103,0.08333654050597206,-0.5552859164530535,0.10725926474244551,-0.6894813341486201,0.06058910179698551,-0.555525932472571
2021-04-01,0.09976812845640026,-0.5989288698312293,0.08428189152948451,-0.5552859164530535,0.10530606687857724,-0.6937478196736968,0.061635276176483345,-0.555525932472571
2021-04-09,0.1016180775837463,-0.5980115154584518,0.08611413054014894,-0.5552859164530535,0.1074409201153812,-0.6924527411547923,0.06318212988967531,-0.5555259324725709
2021-04-16,0.09976917543998232,-0.5973133141932168,0.08433939075943364,-0.5552859164530535,0.10543094732827218,-0.6916253627663227,0.06163857067306133,-0.555525932472571
2021-04-23,0.0974767091673121,-0.5968980437191991,0.08347343851293543,-0.5552859164530534,0.10137547441493111,-0.6906558147856079,0.06075169901023303,-0.555525932472571
2021-04-30,0.09584722405880286,-0.5970330539617783,0.08099541397022736,-0.5552859164530535,0.10050821464406501,-0.6908059615423708,0.05823967413574804,-0.555525932472571
2021-05-07,0.09791758756187385,-0.592152366053351,0.08188077601069921,-0.5552859164530535,0.10396301727971125,-0.6810432709724622,0.0592404369974846,-0.555525932472571
2021-05-14,0.09895974999688972,-0.5871708614128164,0.08163143041862897,-0.5552859164530535,0.1061568191936586,-0.6731857389478095,0.058893756272430986,-0.555525932472571
2021-05-21,0.09565472683058407,-0.5840107381107785,0.078866810287201,-0.5552859164530535,0.10225721732818394,-0.6675395928088153,0.05671509422236354,-0.555525932472571
2021-05-28,0.10267757466181626,-0.5818176558484843,0.08209284113391102,-0.5552859164530535,0.11337232642797179,-0.6640239490233939,0.05983754326760393,-0.555525932472571
2021-06-04,0.10099595506034698,-0.5791913526902641,0.08147756799074757,-0.5552859164530535,0.1105534980170535,-0.6595422043568407,0.05907364382499991,-0.555525932472571
2021-06-11,0.10107965226608484,-0.5893933677757933,0.08292703939618318,-0.5552859164530535,0.10974721062374515,-0.6758492482033831,0.06050357266788953,-0.5555259324725709
2021-06-18,0.1017586693704251,-0.5921582058269572,0.08269565952662838,-0.5552859164530535,0.11168471625388943,-0.680796628548865,0.060397007090522425,-0.5555259324725709
2021-06-25,0.10021435885522934,-0.5982534312778593,0.08469938474649363,-0.5552859164530535,0.10629615180174379,-0.6920474029882933,0.06206523712351375,-0.5555259324725709
2021-07-02,0.10106634944896942,-0.5990309351367062,0.0852473104715179,-0.5552859164530535,0.10692697768717374,-0.693988560014538,0.061989307076598,-0.555525932472571
2021-07-12,0.10182453635693212,-0.5975725457268333,0.08610854587234029,-0.5552859164530534,0.10784666745972271,-0.6917594587765672,0.06267446731314297,-0.5555259324725709
2021-07-19,0.09918849768722304,-0.5972363220478154,0.08421661534987779,-0.5552859164530535,0.10383641471839744,-0.6910995842871678,0.060778828867445345,-0.555525932472571
2021-07-26,0.10151099268854069,-0.5993892382513635,0.0868080277098997,-0.5552859164530535,0.10621212619398235,-0.6947629498516483,0.06313297058957934,-0.5555259324725709
2021-08-02,0.10300551115464751,-0.5950194626757828,0.08557612950884685,-0.5552859164530535,0.11099355653432053,-0.6866417150211868,0.06249983952780136,-0.555525932472571
2021-08-09,0.1039499864762341,-0.5918325001250928,0.0878199530368946,-0.5552859164530535,0.11058556991162916,-0.681287017584985,0.06429228419595145,-0.555525932472571
2021-08-16,0.10551800221152718,-0.5873116631882593,0.08847965213292253,-0.5552859164530535,0.11334107710452046,-0.6725091780461045,0.06457544153350403,-0.5555259324725709
2021-08-23,0.10774320641993862,-0.5825215904647851,0.08938673117335072,-0.5552859164530535,0.11714593484855351,-0.6643716016023284,0.06556198803387336,-0.555525932472571
2021-08-30,0.11200430353096857,-0.5849049040383305,0.09155665559597548,-0.5552859164530535,0.12361982254558934,-0.6699043243008853,0.0673900477970033,-0.555525932472571
2021-09-07,0.11512720801512066,-0.5856796634393298,0.09358468537145614,-0.5552859164530535,0.12838488868449183,-0.6706149138438828,0.06964948667360638,-0.555525932472571
2021-09-20,0.11706083253191713,-0.5929858093377611,0.0969535736645446,-0.5552859164530535,0.12910174878271774,-0.68253269747641,0.07287026450625245,-0.5555259324725709
2021-09-27,0.11488411318641178,-0.5967509211828611,0.09615218890071842,-0.5552859164530535,0.12564915720095593,-0.6889211708374899,0.072013911941877,-0.555525932472571
2021-10-04,0.10822930244339002,-0.599231383694561,0.09169410672799816,-0.5552859164530535,0.11564492327409037,-0.6942245198585026,0.06734861772561862,-0.555525932472571
2021-10-11,0.10768802439570169,-0.6001666417794609,0.0910591779273453,-0.5552859164530535,0.11523510577819662,-0.6962563378352222,0.067336412293179,-0.555525932472571
2021-10-18,0.11127171466550356,-0.5983053536524896,0.0940599688980932,-0.5552859164530535,0.11987006150683288,-0.6929046923310878,0.06966033197048782,-0.5555259324725709
